fuel category,year,nerc,month,generation (mwh)
Coal,2006,HICC,7,141611.45197999998
Coal,2006,HICC,8,140427.5109
Coal,2006,HICC,9,135198.02658
Coal,2006,HICC,10,133073.99821000002
Coal,2006,HICC,11,134321.93079999997
Coal,2006,HICC,12,134770.44188
Coal,2006,MRO,1,12416843.373269998
Coal,2006,MRO,2,11901567.84443999
Coal,2006,MRO,3,11995074.12788
Coal,2006,MRO,4,10613822.197919998
Coal,2006,MRO,5,11588882.730289998
Coal,2006,MRO,6,12264801.233420005
Coal,2006,MRO,7,13751393.097429998
Coal,2006,MRO,8,13280275.006420001
Coal,2006,MRO,9,11508607.172290001
Coal,2006,MRO,10,11978408.890060002
Coal,2006,MRO,11,11906744.660029996
Coal,2006,MRO,12,13154542.781310003
Coal,2006,NPCC,1,3805676.6768299993
Coal,2006,NPCC,2,3508525.6552
Coal,2006,NPCC,3,3583695.9506300003
Coal,2006,NPCC,4,2816566.3879099996
Coal,2006,NPCC,5,2948423.458740001
Coal,2006,NPCC,6,3536208.78676
Coal,2006,NPCC,7,4077317.71496
Coal,2006,NPCC,8,3977368.9590400006
Coal,2006,NPCC,9,3176753.8273400003
Coal,2006,NPCC,10,2958141.4383899993
Coal,2006,NPCC,11,3292999.70538
Coal,2006,NPCC,12,3606280.5047999998
Coal,2006,RFC,1,56362997.54338001
Coal,2006,RFC,2,54088343.16611998
Coal,2006,RFC,3,55689870.64753003
Coal,2006,RFC,4,47901790.159290016
Coal,2006,RFC,5,50179303.87322
Coal,2006,RFC,6,54854192.41433
Coal,2006,RFC,7,62004285.870240025
Coal,2006,RFC,8,62582291.10174997
Coal,2006,RFC,9,50138889.978879966
Coal,2006,RFC,10,52864476.45915997
Coal,2006,RFC,11,51611739.864600025
Coal,2006,RFC,12,55475814.49466999
Coal,2006,SERC,1,51214515.14940001
Coal,2006,SERC,2,49888937.83445998
Coal,2006,SERC,3,49259336.96585002
Coal,2006,SERC,4,44217413.652610034
Coal,2006,SERC,5,51306992.334040016
Coal,2006,SERC,6,54821190.00226002
Coal,2006,SERC,7,58465679.53108001
Coal,2006,SERC,8,59847150.57475
Coal,2006,SERC,9,51019105.260159984
Coal,2006,SERC,10,49412194.60348999
Coal,2006,SERC,11,49056852.68867999
