year,nerc,month,final co2 (kg),generation (mwh),index,datetime
2005,MRO,4,12023825190.118515,14168915.696009997,848.6058812181693,2005-04-01
2005,MRO,5,12513061792.510056,15072326.690969998,830.2010730703424,2005-05-01
2005,MRO,6,14569060512.66811,17589694.16301,828.2725314977852,2005-06-01
2005,MRO,7,16034827260.627892,19472606.212980002,823.4556322481084,2005-07-01
2005,MRO,8,15659727463.194006,19165225.22099,817.0907089598547,2005-08-01
2005,MRO,9,13572565522.77704,16681815.342990004,813.6144204761549,2005-09-01
2005,MRO,10,13117827101.341715,16612420.72204,789.6397112034405,2005-10-01
2005,MRO,11,13028208544.624922,16550241.62105,787.1914406406335,2005-11-01
2005,MRO,12,14877862251.192415,18282595.94299,813.7718679330632,2005-12-01
2005,NPCC,1,9880296302.301025,24651904.32398999,400.79241637677535,2005-01-01
2005,NPCC,2,7944692296.922164,21324449.626009993,372.5625953427569,2005-02-01
2005,NPCC,3,8540777053.425768,22501076.64299,379.5719284431026,2005-03-01
2005,NPCC,4,7532915220.882167,19959939.50301,377.40170603954925,2005-04-01
2005,NPCC,5,6592204510.859851,20259224.709980004,325.39273369194774,2005-05-01
2005,NPCC,6,9859863656.864958,25284507.549999997,389.9567210224333,2005-06-01
2005,NPCC,7,11675009316.050571,27756837.384970006,420.6174195613672,2005-07-01
2005,NPCC,8,12320131239.777441,28753434.05500001,428.475124613335,2005-08-01
2005,NPCC,9,9955448363.71486,24351968.532980002,408.81493215762595,2005-09-01
2005,NPCC,10,8587974404.977697,21704281.407970004,395.6811213212577,2005-10-01
2005,NPCC,11,7291363357.645236,20921629.08804,348.5083942059462,2005-11-01
2005,NPCC,12,9439289169.067423,23846232.364979997,395.83985531105264,2005-12-01
2005,RFC,1,58932579725.879776,87582111.89695999,672.8837481701026,2005-01-01
2005,RFC,2,51067476081.98106,76737061.044,665.486472731861,2005-02-01
2005,RFC,3,55163702516.66218,81754653.06096,674.7469465197241,2005-03-01
2005,RFC,4,45275911737.811806,70773315.08599,639.7313971063995,2005-04-01
2005,RFC,5,46335252237.837204,74280779.90094998,623.7852146897642,2005-05-01
2005,RFC,6,59647199176.47389,89804834.53097,664.1869503796482,2005-06-01
2005,RFC,7,65738637905.86743,98173581.19502999,669.6163785170693,2005-07-01
2005,RFC,8,66669446738.482834,99815253.92296997,667.9284389731993,2005-08-01
2005,RFC,9,57316374176.062935,85481293.63798004,670.5136496740708,2005-09-01
2005,RFC,10,52956639459.840454,80759932.79302998,655.7291175013323,2005-10-01
2005,RFC,11,51514195648.942276,78862587.24098,653.2146287761345,2005-11-01
2005,RFC,12,59013927278.862434,90614592.87595999,651.2629523110598,2005-12-01
2005,SERC,1,56048500700.37955,93589185.35600998,598.8779631660755,2005-01-01
2005,SERC,2,49255157178.100914,81494128.09209001,604.4013026612371,2005-02-01
2005,SERC,3,52410166789.10139,85853571.46801,610.4599481761804,2005-03-01
2005,SERC,4,46146599897.45904,78571646.33099997,587.3187345859669,2005-04-01
2005,SERC,5,52471879561.95257,84941688.02193,617.7400141660186,2005-05-01
2005,SERC,6,60435980789.87494,97711898.76597004,618.5119883365002,2005-06-01
2005,SERC,7,65601476287.24055,107306050.99094,611.3492732369713,2005-07-01
2005,SERC,8,67396313950.16038,108803586.25903,619.4309973359625,2005-08-01
2005,SERC,9,59365392834.119545,93846867.50295995,632.577244331007,2005-09-01
2005,SERC,10,51986224175.522026,81729120.87492001,636.0795713816971,2005-10-01
2005,SERC,11,48643825215.08918,79402157.15095,612.6259910371615,2005-11-01
2005,SERC,12,57548361314.68415,94086716.93498,611.6523478489933,2005-12-01
2005,SPP,1,15309161379.606125,17980567.88897,851.4281347586011,2005-01-01
2005,SPP,2,12655776242.681564,15086122.296,838.9018724869526,2005-02-01
2005,SPP,3,12713463976.472588,16058919.368999999,791.6761822102769,2005-03-01
2005,SPP,4,11526052806.70223,14608068.54802,789.0196276676487,2005-04-01
2005,SPP,5,13341209916.102211,16572715.788999995,805.0104814418727,2005-05-01
2005,SPP,6,15435946404.237406,20096775.60101,768.0807464189253,2005-06-01
2005,SPP,7,17167336424.446804,22262338.67398,771.1380495936761,2005-07-01
2005,SPP,8,17245292960.880455,22254443.730010003,774.9145820088627,2005-08-01
2005,SPP,9,14643180795.086214,18954981.786980003,772.5241289941241,2005-09-01
2005,SPP,10,12652889231.361094,15742634.235,803.7339267675042,2005-10-01
2005,SPP,11,12443306367.310427,15091700.736990001,824.5131933216568,2005-11-01
2005,SPP,12,14174997878.422289,17570445.08301,806.7523509765277,2005-12-01
2005,TRE,1,15061381446.608871,25347581.47401,594.1940244694341,2005-01-01
2005,TRE,2,13150098943.110914,22238259.03502,591.327716904575,2005-02-01
2005,TRE,3,13694992426.613764,23427192.29499,584.5767710517531,2005-03-01
2005,TRE,4,13270728638.335873,22801926.545010004,582.0003240577079,2005-04-01
2005,TRE,5,16038783368.55678,27276227.14101,588.0132646513401,2005-05-01
2005,TRE,6,18210706877.50963,31689565.788999997,574.6594004715231,2005-06-01
2005,TRE,7,19104708890.106762,32997796.41101,578.969233343482,2005-07-01
2005,TRE,8,19495682910.10451,34062122.77799,572.3566624773628,2005-08-01
2005,TRE,9,17968080816.661636,30692556.299,585.4214501268849,2005-09-01
2005,TRE,10,15728929334.73696,25473448.901,617.4636734847277,2005-10-01
2005,TRE,11,14551470296.699476,23860341.163,609.8601104356504,2005-11-01
2005,TRE,12,15274255818.997295,25694916.70301,594.4465979610671,2005-12-01
2005,WECC,1,27704063511.551636,58134218.26602,476.55347122376156,2005-01-01
2005,WECC,2,23998306608.935078,51175783.23602001,468.93872631623736,2005-02-01
2005,WECC,3,25333424704.994923,54424978.28401001,465.47422716083753,2005-03-01
2005,WECC,4,23738834615.999714,52504891.74901001,452.1261510161539,2005-04-01
2005,WECC,5,23711218191.677807,57431806.27199999,412.8586532587928,2005-05-01
2005,WECC,6,26383952930.593315,60409911.55498,436.74874290423134,2005-06-01
2005,WECC,7,31725748759.977005,70177752.56202,452.07701303827287,2005-07-01
2005,WECC,8,31944846019.883305,67546952.87105,472.9280102518817,2005-08-01
2005,WECC,9,28167570722.452877,57767084.33702,487.6058926242484,2005-09-01
2005,WECC,10,27755251082.97037,55356450.074000016,501.39145566356575,2005-10-01
2005,WECC,11,26741881306.71263,54793681.20400999,488.04680976162575,2005-11-01
2005,WECC,12,28821987121.686134,60452933.16497999,476.7673893180511,2005-12-01
2006,ASCC,1,347524701.43699986,637342.996,545.2710763561914,2006-01-01
2006,ASCC,2,296894531.58449996,544926.4049999999,544.8341810202793,2006-02-01
2006,ASCC,3,309813697.76790005,578010.9979999999,535.999658899051,2006-03-01
2006,ASCC,4,285746392.9706002,537144.5819999999,531.9729595086937,2006-04-01
2006,ASCC,5,288113384.3672999,532161.964,541.4016856854878,2006-05-01
2006,ASCC,6,297137076.50070006,526072.995,564.8210026456501,2006-06-01
2006,ASCC,7,330839642.0985001,570845.614,579.5606272250348,2006-07-01
2006,ASCC,8,331211931.4023,565002.256,586.2134670879968,2006-08-01
2006,ASCC,9,279404930.1565,473255.61000000004,590.3890503411042,2006-09-01
2006,ASCC,10,305911286.23780006,560250.9870000001,546.02543027345,2006-10-01
2006,ASCC,11,331848172.3988,615206.4730000001,539.4094291312828,2006-11-01
2006,ASCC,12,334266236.96430004,614137.8960000001,544.285313024064,2006-12-01
2006,FRCC,1,8836564702.594725,15552865.298029996,568.1631347835314,2006-01-01
2006,FRCC,2,7985690660.593604,14537102.471020004,549.3316619672479,2006-02-01
2006,FRCC,3,8157544041.987888,15226795.067,535.73611558398,2006-03-01
2006,FRCC,4,9197283797.876778,16930417.659970004,543.2402190303126,2006-04-01
2006,FRCC,5,10577712448.886084,18344588.178030003,576.6121510186994,2006-05-01
2006,FRCC,6,11411813277.98378,20239842.855009995,563.8291443136872,2006-06-01
2006,FRCC,7,12064512573.771286,20969764.693010002,575.3289438575739,2006-07-01
2006,FRCC,8,12728151890.05198,22027255.33699,577.8364891733837,2006-08-01
2006,FRCC,9,11022344989.54071,19759364.90699,557.8289100598313,2006-09-01
2006,FRCC,10,9639035253.225767,17767324.60198,542.5147268459083,2006-10-01
2006,FRCC,11,8134054789.033671,14855902.164970001,547.5301801740222,2006-11-01
2006,FRCC,12,8626212464.565514,15464826.11199,557.7956326245107,2006-12-01
2006,HICC,1,681734631.3128002,936078.0709900003,728.2882191565438,2006-01-01
2006,HICC,2,589567749.4017998,819454.971,719.4632655438486,2006-02-01
2006,HICC,3,659810875.4762001,922487.0690100003,715.2521673656624,2006-03-01
2006,HICC,4,669661837.1149004,894861.4240099997,748.3413846515493,2006-04-01
2006,HICC,5,676798291.0557,952487.9600000001,710.5583686912954,2006-05-01
2006,HICC,6,733492445.202,1000221.10899,733.3302992801898,2006-06-01
2006,HICC,7,758202176.3050002,1031993.5619900002,734.6966146212712,2006-07-01
2006,HICC,8,845481317.8906002,1118097.571,756.1784765657095,2006-08-01
2006,HICC,9,736262126.8782,992221.7609999998,742.0338434587106,2006-09-01
2006,HICC,10,729063348.0302999,991565.48701,735.2649498004838,2006-10-01
2006,HICC,11,694623839.1567996,950198.4579999999,731.0302740533385,2006-11-01
