plant id,lat,lon,nerc,state
1142,43.2397,-94.7498,MRO,IA
10220,44.685589,-75.002868,NPCC,NY
1145,42.363094,-92.772322,MRO,IA
1138,43.263234999999995,-93.63538299999999,MRO,IA
10216,31.5825,-87.4889,SERC,AL
1137,43.4028,-94.8433,MRO,IA
1155,40.622,-93.9326,MRO,IA
1146,41.644542,-95.315283,MRO,IA
114,31.364122,-109.5538,WECC,AZ
1153,43.4301,-95.3153,MRO,IA
1162,42.035556,-90.665,MRO,IA
1156,42.3159,-92.1928,MRO,IA
1157,42.8486,-94.8506,MRO,IA
1141,42.282807,-94.288965,MRO,IA
1143,42.0296,-94.3699,MRO,IA
1134,40.9871,-94.7352,MRO,IA
1164,43.326083000000004,-95.148339,MRO,IA
1166,40.971826,-91.551221,MRO,IA
10234,44.43,-89.78,MRO,WI
1163,43.023733,-91.174927,MRO,IA
1168,43.0689,-92.3201,MRO,IA
1168,43.0689,-92.3201,SPP,IA
1165,41.586026000000004,-92.5228,MRO,IA
116,33.4225,-111.9122,WECC,AZ
1154,43.4172,-93.5322,MRO,IA
1172,43.279722,-92.810556,MRO,IA
1169,42.0372,-94.0462,MRO,IA
10849,47.286573,-91.260531,MRO,MN
1144,41.303889,-94.46055600000001,MRO,IA
10855,41.1386,-92.6467,MRO,IA
10175,32.7992,-117.1517,WECC,CA
10167,28.513928999999997,-96.794154,TRE,TX
10176,42.339387,-71.031407,NPCC,MA
1016,35.0986,-78.8294,SERC,NC
10138,45.206340999999995,-109.1652,WECC,MT
10184,30.397351,-97.842586,TRE,TX
10169,33.8759,-118.2491,WECC,CA
10148,46.7644,-89.5669,RFC,MI
10325,42.260844,-111.66558899999998,WECC,ID
10183,42.750278,-71.505278,NPCC,NH
10188,28.05485,-81.79816600000001,FRCC,FL
10190,42.5375,-73.7433,NPCC,NY
10196,43.610664,-75.341325,NPCC,NY
10186,44.7975,-69.8867,NPCC,ME
10180,39.8078,-104.9542,WECC,CO
10198,30.038649,-90.828312,SERC,LA
10202,30.681822999999998,-81.45541300000001,FRCC,FL
10197,44.158611,-75.70877800000001,NPCC,NY
10191,35.060556,-118.38972199999999,WECC,CA
10195,32.904109999999996,-90.3781,SERC,MS
10206,34.050391,-117.24841699999999,WECC,CA
10204,27.8605,-82.3903,FRCC,FL
10214,44.6694,-73.5075,NPCC,NY
10222,36.058634999999995,-118.924097,WECC,CA
10213,33.9058,-118.4031,WECC,CA
10233,31.2434,-89.0456,SERC,MS
10218,43.4833,-73.7986,NPCC,NY
10221,42.781779,-73.696096,NPCC,NY
10223,42.665941,-93.902606,MRO,IA
10219,43.098711,-73.52527099999999,NPCC,NY
10237,44.151944,-75.321725,NPCC,NY
1024,40.048889,-86.8992,RFC,IN
10137,43.6411,-72.4061,NPCC,VT
10140,44.027444,-112.719439,WECC,ID
10143,40.55,-78.8,RFC,PA
1013,38.0211,-87.5172,RFC,IN
10224,40.615615999999996,-74.26529000000001,RFC,NJ
10262,34.138467,-118.1256,WECC,CA
10139,35.6439,-118.4822,WECC,CA
10149,45.062836,-83.423333,RFC,MI
10156,36.617022,-120.099846,WECC,CA
10151,39.561831,-80.163138,RFC,WV
10243,27.5697,-97.8228,TRE,TX
10294,36.225,-121.1278,WECC,CA
1180,43.0489,-92.9468,MRO,IA
1173,41.016346,-92.414873,MRO,IA
10853,43.096677,-73.460172,NPCC,NY
10863,44.187065999999994,-93.99242,MRO,MN
1200,41.569128000000006,-91.26405,MRO,IA
1190,41.503889,-94.3172,MRO,IA
1181,43.429444000000004,-96.169166,MRO,IA
1235,38.41,-98.8689,SPP,KS
1201,43.064444,-94.421944,MRO,IA
1217,43.1606,-95.2569,MRO,IA
10872,43.917266999999995,-75.633822,NPCC,NY
1258,37.1517,-98.0311,SPP,KS
1240,37.7903,-97.52166700000001,SPP,KS
1252,39.0539,-95.568889,SPP,KS
1278,38.2697,-95.2447,SPP,KS
10884,34.326242,-118.44476999999999,WECC,CA
1248,38.0906,-97.87472199999999,SPP,KS
1199,42.961151,-94.445574,MRO,IA
