plant id,state,lat,lon,nerc
56118,IL,38.6714,-88.4894,SERC
56119,NJ,40.4903,-74.3156,RFC
56120,SC,34.181042,-80.267777,SERC
56121,SC,34.5739,-82.4621,SERC
56122,SC,34.102996,-80.790494,SERC
56123,MN,43.6383,-96.391944,MRO
56124,OR,45.2879,-122.9627,WECC
56125,CA,34.2253,-119.0858,WECC
56126,MO,39.7503,-92.5,SERC
56127,MO,39.748975,-92.384476,SERC
56128,MO,39.761389,-92.453333,SERC
56129,SC,34.8894,-81.0725,SERC
56130,SC,34.815833,-82.698611,SERC
56131,SC,34.65724,-83.03832,SERC
56132,SC,34.44128,-82.3652,SERC
56134,CA,37.9369,-121.3294,WECC
56135,CA,37.7315,-121.116,WECC
56136,ID,43.148056,-115.666667,WECC
56138,IA,41.6014,-93.5765,MRO
56139,LA,29.7336,-91.4431,SERC
56140,NH,45.015,-71.7833,
56141,NY,40.6097,-73.7622,NPCC
56142,MN,44.011,-96.0446,MRO
56143,CA,33.9636,-117.4528,WECC
56144,CA,33.9308,-117.2933,WECC
56148,SD,44.368056,-100.380833,MRO
56149,WI,44.82983,-91.373134,MRO
56150,GA,32.3478,-81.1817,SERC
56151,MO,38.6803,-94.4824,-
56152,TX,28.988761,-95.395417,TRE
56153,MN,43.983462,-96.011809,MRO
56160,IL,41.7194,-89.0492,RFC
56162,NE,42.4489,-99.8917,MRO
56163,UT,40.7119,-112.1225,WECC
56164,MN,44.3356,-93.290556,MRO
56166,WI,43.751826,-87.878056,
56167,CA,34.0473,-117.3403,WECC
56169,NJ,40.244833,-74.254694,RFC
56170,CA,34.1425,-117.4274,WECC
56171,CA,34.0372,-117.5569,WECC
56172,IA,43.3897,-95.2997,MRO
56173,CO,37.7033,-102.6231,WECC
56174,MN,44.0667,-96.0667,MRO
56175,CA,33.916667,-116.55,WECC
56176,IL,40.380556,-88.960278,SERC
56177,UT,40.0614,-111.7294,WECC
56180,MS,31.604167,-89.940278,SERC
56181,OH,41.5092,-83.3606,RFC
56182,AR,36.060514,-91.919802,-
56183,MI,41.926111,-85.010277,RFC
56184,CA,40.1501,-122.2124,WECC
56185,CA,37.1073,-120.2485,WECC
56187,MS,31.984167,-89.413056,SERC
56188,NY,40.736611,-73.388424,NPCC
56189,CT,41.0372,-73.5564,NPCC
56190,MI,43.5969,-84.7669,RFC
56191,WA,48.399007,-119.508871,WECC
56192,OR,46.153955,-123.40658,WECC
56193,OR,42.355517,-122.904642,WECC
56194,IA,42.4622,-92.6264,MRO
56195,OR,45.943,-118.591,WECC
56196,NY,40.7889,-73.9069,NPCC
56197,NC,35.301389,-77.631111,SERC
56199,MN,43.9897,-96.2236,MRO
56200,MN,43.9931,-96.2186,MRO
56201,MN,43.984444,-96.219444,MRO
56202,MN,43.980278,-96.223333,MRO
56203,MN,43.988611,-96.215556,MRO
56204,MN,44.0364,-96.0736,MRO
56205,MN,44.0236,-96.0789,MRO
56206,MN,44.0197,-96.1183,MRO
56207,MN,43.651389,-95.368611,MRO
56208,MN,43.651389,-95.3825,MRO
56209,MN,44.0508,-96.0933,MRO
56210,MN,43.651389,-95.3755,MRO
56211,TX,32.3606,-100.3389,TRE
56212,TX,32.3472,-100.3703,TRE
56213,CA,37.701956,-121.613708,WECC
