nerc,year,month,ngcc,turbine,other,total,ngcc fraction,turbine fraction,other fraction,datetime
SERC,2008,9,42003.4,38174.299999999996,20732.699999999997,100910.4,0.4162445099811318,0.37829896621160947,0.2054565238072587,2008-09-01
SERC,2008,10,42003.4,38174.299999999996,20732.699999999997,100910.4,0.4162445099811318,0.37829896621160947,0.2054565238072587,2008-10-01
SERC,2008,11,42003.4,38174.299999999996,20732.699999999997,100910.4,0.4162445099811318,0.37829896621160947,0.2054565238072587,2008-11-01
SERC,2008,12,42003.4,38174.299999999996,20732.699999999997,100910.4,0.4162445099811318,0.37829896621160947,0.2054565238072587,2008-12-01
SERC,2009,1,42003.4,38320.299999999996,20519.699999999997,100843.4,0.4165210613684188,0.37999809605784807,0.2034808425737331,2009-01-01
SERC,2009,2,41993.8,38320.299999999996,20519.699999999997,100833.8,0.41646551057284364,0.38003427422154074,0.20350021520561554,2009-02-01
SERC,2009,3,41983.8,38320.299999999996,20519.699999999997,100823.8,0.41640763391183433,0.38007196713474395,0.20352039895342167,2009-03-01
SERC,2009,4,41983.8,38290.299999999996,20519.699999999997,100793.8,0.4165315723784598,0.37988745339495084,0.2035809742265893,2009-04-01
SERC,2009,5,41983.8,38449.3,20519.3,100952.40000000001,0.41587718568354987,0.3808656356857291,0.20325717863072099,2009-05-01
SERC,2009,6,41983.8,38449.3,20519.3,100952.40000000001,0.41587718568354987,0.3808656356857291,0.20325717863072099,2009-06-01
SERC,2009,7,41983.8,38612.299999999996,20519.3,101115.40000000001,0.4152067835364346,0.3818636923752464,0.20292952408831888,2009-07-01
SERC,2009,8,41983.8,38612.299999999996,20519.3,101115.40000000001,0.4152067835364346,0.3818636923752464,0.20292952408831888,2009-08-01
SERC,2009,9,41983.8,38612.299999999996,20519.3,101115.40000000001,0.4152067835364346,0.3818636923752464,0.20292952408831888,2009-09-01
SERC,2009,10,41983.8,38612.299999999996,20519.3,101115.40000000001,0.4152067835364346,0.3818636923752464,0.20292952408831888,2009-10-01
SERC,2009,11,41983.8,38612.299999999996,20519.3,101115.40000000001,0.4152067835364346,0.3818636923752464,0.20292952408831888,2009-11-01
SERC,2009,12,41983.8,38612.299999999996,20519.3,101115.40000000001,0.4152067835364346,0.3818636923752464,0.20292952408831888,2009-12-01
SERC,2010,1,41983.8,38663.5,20519.3,101166.6,0.41499664909169626,0.3821765286171523,0.2028268222911514,2010-01-01
SERC,2010,2,41983.8,38648.5,20519.3,101151.6,0.4150581898852811,0.38208491017443125,0.20285689994028763,2010-02-01
SERC,2010,3,41983.8,38668.50000000001,20519.3,101171.60000000002,0.41497613954904333,0.38220706206089455,0.20281679839006198,2010-03-01
SERC,2010,4,41983.8,38664.200000000004,20519.3,101167.3,0.41499377763368206,0.3821808034809667,0.20282541888535127,2010-04-01
SERC,2010,5,41983.8,38688.200000000004,20519.3,101191.3,0.4148953516754899,0.38232733446452416,0.20277731385998599,2010-05-01
SERC,2010,6,41983.8,38864.2,20515.3,101363.3,0.4141913296035153,0.383414904605513,0.20239376579097168,2010-06-01
SERC,2010,7,42705.6,38864.2,20515.3,102085.09999999999,0.4183333317007085,0.38070394210320607,0.20096272619608543,2010-07-01
SERC,2010,8,42705.6,38864.2,20515.3,102085.09999999999,0.4183333317007085,0.38070394210320607,0.20096272619608543,2010-08-01
SERC,2010,9,42705.6,38864.2,20515.3,102085.09999999999,0.4183333317007085,0.38070394210320607,0.20096272619608543,2010-09-01
SERC,2010,10,43230.6,38864.2,20514.3,102609.09999999999,0.4213135092306628,0.37875977861612664,0.1999267121532106,2010-10-01
SERC,2010,11,43230.6,38864.2,20514.3,102609.09999999999,0.4213135092306628,0.37875977861612664,0.1999267121532106,2010-11-01
SERC,2010,12,43230.6,38864.2,20512.0,102606.79999999999,0.42132295325456015,0.3787682687697112,0.19990877797572873,2010-12-01
SERC,2011,1,43230.6,39379.0,20188.5,102798.1,0.4205389010108163,0.38307128244588173,0.19638981654330187,2011-01-01
SERC,2011,2,43226.299999999996,39379.0,20188.5,102793.79999999999,0.42051466139008387,0.3830873068220068,0.1963980317879094,2011-02-01
SERC,2011,3,43226.299999999996,39379.0,20176.5,102781.79999999999,0.42056375739673757,0.383132033103137,0.19630420950012553,2011-03-01
SERC,2011,4,43226.299999999996,39379.0,20176.5,102781.79999999999,0.42056375739673757,0.383132033103137,0.19630420950012553,2011-04-01
SERC,2011,5,43226.299999999996,39379.0,20176.5,102781.79999999999,0.42056375739673757,0.383132033103137,0.19630420950012553,2011-05-01
SERC,2011,6,43720.299999999996,39379.0,20161.5,103260.79999999999,0.4233968747094735,0.3813547832284856,0.195248342062041,2011-06-01
SERC,2011,7,44317.299999999996,39379.0,20161.5,103857.79999999999,0.42671133029969827,0.3791626627947059,0.19412600690559595,2011-07-01
SERC,2011,8,44317.299999999996,39379.0,20161.5,103857.79999999999,0.42671133029969827,0.3791626627947059,0.19412600690559595,2011-08-01
SERC,2011,9,44317.299999999996,39379.0,19939.5,103635.79999999999,0.42762539585741605,0.37997487354755793,0.19239973059502607,2011-09-01
SERC,2011,10,44317.299999999996,39379.0,19823.4,103519.69999999998,0.42810498871229347,0.38040102511889046,0.19149398616881622,2011-10-01
SERC,2011,11,44353.399999999994,39379.0,19818.6,103551.0,0.4283242073953897,0.3802860426263387,0.19138974997827157,2011-11-01
SERC,2011,12,45093.59999999999,39369.0,19818.6,104281.19999999998,0.4324231021507232,0.37752730118180466,0.1900495966674722,2011-12-01
SERC,2012,1,45950.7,39393.8,19833.5,105178.0,0.4368850900378406,0.3745441061819012,0.18857080378025823,2012-01-01
SERC,2012,2,45941.0,39393.8,19833.5,105168.3,0.4368331521951006,0.37457865155184594,0.18858819625305343,2012-02-01
SERC,2012,3,45941.0,39393.8,19833.5,105168.3,0.4368331521951006,0.37457865155184594,0.18858819625305343,2012-03-01
SERC,2012,4,45938.0,39393.8,19833.5,105165.3,0.4368170870049341,0.3745893369771208,0.18859357601794507,2012-04-01
SERC,2012,5,47639.0,39393.8,19833.5,106866.3,0.44578131740314764,0.3686269665928361,0.18559171600401622,2012-05-01
SERC,2012,6,47714.0,39400.399999999994,19833.5,106947.9,0.44614246750053066,0.36840742080957173,0.1854501116898976,2012-06-01
SERC,2012,7,47714.0,39400.399999999994,19833.5,106947.9,0.44614246750053066,0.36840742080957173,0.1854501116898976,2012-07-01
SERC,2012,8,47714.0,39400.399999999994,19621.5,106735.9,0.4470286004989886,0.36913915561680744,0.1838322438842039,2012-08-01
SERC,2012,9,47714.0,39400.399999999994,19621.5,106735.9,0.4470286004989886,0.36913915561680744,0.1838322438842039,2012-09-01
SERC,2012,10,47714.0,39182.399999999994,19621.5,106517.9,0.4479434911878661,0.3678480330535994,0.1842084757585345,2012-10-01
SERC,2012,11,48540.0,39182.399999999994,19621.5,107343.9,0.45219150785466156,0.36501748119827954,0.18279101094705894,2012-11-01
SERC,2012,12,48615.0,39182.399999999994,19547.9,107345.29999999999,0.45288429022975396,0.3650127206314575,0.18210298913878858,2012-12-01
