year,nerc,month,type,generation (mwh),total fuel (mmbtu),elec fuel (mmbtu)
2016,MRO,3,COW,258752.67130879822,5915261.821751554,2779083.7130036918
2016,MRO,3,HYC,145708.27637077327,,
2016,MRO,3,NG,152530.52081756093,2996971.7165577207,1527316.5513260243
2016,MRO,3,OTH,20934.013118981373,,
2016,MRO,3,PEL,2031.0227113473027,19737.00701975049,12737.092254919697
2016,MRO,3,WAS,100123.08348420094,,
2016,MRO,3,WND,190768.6544479336,,
2016,MRO,3,WWW,93686.42250107329,,
2016,MRO,4,COW,206129.1905170787,3884859.030492634,2194726.391158701
2016,MRO,4,HYC,158791.91934408736,,
2016,MRO,4,NG,202431.9024204514,2942420.342019454,1635115.8531137137
2016,MRO,4,OTH,22036.067695321966,,
2016,MRO,4,PEL,2356.948297396427,20807.13997466857,13886.766850253847
2016,MRO,4,WAS,99945.5395802534,,
2016,MRO,4,WND,197925.14009220782,,
2016,MRO,4,WWW,79254.72350440636,,
2016,MRO,5,COW,257594.1020995424,5143757.628017026,2762207.2763233427
2016,MRO,5,HYC,159896.08936133346,,
2016,MRO,5,NG,242999.1802669111,3237542.420387428,1999240.8773545339
2016,MRO,5,OTH,23324.554965546195,,
2016,MRO,5,PEL,2889.261870322312,31462.826396567667,18052.63152281691
2016,MRO,5,WAS,103312.38717369702,,
2016,MRO,5,WND,147691.66881304226,,
2016,MRO,5,WWW,83133.5545401359,,
2016,MRO,6,COW,314342.0062454167,5930383.915262684,3418541.094374104
2016,MRO,6,HYC,163693.56372503404,,
2016,MRO,6,NG,251456.6807877213,3410172.75651275,2235988.1553797834
2016,MRO,6,OTH,22439.3310368092,,
2016,MRO,6,PEL,2658.2935873801903,28054.31422783241,16999.527246644786
2016,MRO,6,WAS,97371.50313880629,,
2016,MRO,6,WND,138495.70181955857,,
2016,MRO,6,WWW,92350.34963632557,,
2016,MRO,7,COW,376722.0725796428,6573213.414422028,4046732.063561394
2016,MRO,7,HYC,151232.95256242267,,
2016,MRO,7,NG,341718.7134761513,4574186.476517326,3271356.708597943
2016,MRO,7,OTH,23349.63750146286,,
2016,MRO,7,PEL,3039.3591783712636,27972.713988238993,20594.151087456372
2016,MRO,7,WAS,102014.37665071912,,
2016,MRO,7,WND,114692.71894009439,,
2016,MRO,7,WWW,100123.79004513391,,
2016,MRO,8,COW,382455.3203618841,6769258.679872557,4168054.842743253
2016,MRO,8,HYC,138320.03298163193,,
2016,MRO,8,NG,445942.4885088865,5611755.206789983,3995851.7245339896
2016,MRO,8,OTH,24363.45525576059,,
2016,MRO,8,PEL,2802.3089117341983,24414.948363605195,19054.959410372674
2016,MRO,8,WAS,101653.24060418856,,
2016,MRO,8,WND,97104.57296766232,,
2016,MRO,8,WWW,100080.33887333507,,
2016,MRO,9,COW,309749.4305420641,5508735.333453527,3361098.246510145
2016,MRO,9,HYC,97607.68937961584,,
2016,MRO,9,NG,198959.7216545565,3129911.0408564373,1882438.219437323
2016,MRO,9,OTH,22984.394612909753,,
2016,MRO,9,PEL,1965.53514686775,13973.113767368348,10637.760868346575
2016,MRO,9,WAS,93114.25495600155,,
2016,MRO,9,WND,143936.30997397983,,
2016,MRO,9,WWW,95868.31544292145,,
2016,MRO,10,COW,278078.1097820507,4746835.913658256,3042260.827263228
2016,MRO,10,HYC,120737.84822458125,,
2016,MRO,10,NG,140511.01575110876,2579317.187763409,1373845.0274618606
2016,MRO,10,OTH,21674.05843961064,,
2016,MRO,10,PEL,2351.0619878734606,11312.04490756934,12792.05114814684
2016,MRO,10,WAS,95436.17092651318,,
2016,MRO,10,WND,172724.42384853098,,
2016,MRO,10,WWW,84177.7154408994,,
2016,MRO,11,COW,262099.8685802393,5079692.419598134,2908199.725493028
2016,MRO,11,HYC,133684.41396048776,,
2016,MRO,11,NG,127563.15737445552,2547144.7401118944,1237751.1792353576
2016,MRO,11,OTH,21093.057194103123,,
2016,MRO,11,PEL,2427.9822212682093,14299.723399899134,11350.08227837217
2016,MRO,11,WAS,94586.28866722654,,
2016,MRO,11,WND,186287.08115026137,,
2016,MRO,11,WWW,86601.89629880352,,
2016,MRO,12,COW,347620.3701671218,6155265.30947367,3726416.8771316176
2016,MRO,12,HYC,158321.2696498154,,
2016,MRO,12,NG,144594.14238341188,2890188.818081365,1525085.9174236504
2016,MRO,12,OTH,21795.20284576995,,
2016,MRO,12,PEL,3277.063967710393,19560.04950035091,16499.67757818404
2016,MRO,12,SUN,6748.139999999999,,
2016,MRO,12,WAS,103508.07871348382,,
2016,MRO,12,WND,226338.1657168352,,
2016,MRO,12,WWW,99901.4817582864,,
2016,SERC,1,COW,128365.17574635448,4924943.55578289,1095067.0846669374
2016,SERC,1,HYC,1578591.6506923928,,
2016,SERC,1,NG,652745.3229286537,14670518.873020343,5710530.597620884
2016,SERC,1,OOG,28646.349452290597,,
2016,SERC,1,OTH,111128.63482562137,,
2016,SERC,1,PC,9706.640999999981,343933.0,49243.0
2016,SERC,1,PEL,14872.424332085806,281613.753520412,123000.99110251675
2016,SERC,1,SUN,153023.63999999998,,
2016,SERC,1,WAS,150493.4265264597,,
2016,SERC,1,WND,2933.269913611144,,
2016,SERC,1,WWW,560596.8777939542,,
2016,SERC,2,COW,112475.69651767243,4374178.227375476,913189.8110437485
2016,SERC,2,HYC,1422324.1755518173,,
2016,SERC,2,NG,598573.9209098832,13834129.274876654,5208933.082377691
2016,SERC,2,OOG,25349.51498790403,,
2016,SERC,2,OTH,97768.7480675586,,
2016,SERC,2,PC,14287.863999999987,435436.0,72476.0
2016,SERC,2,PEL,8460.84174445223,156189.18278575258,65971.32782625833
2016,SERC,2,SUN,268686.48000000004,,
2016,SERC,2,WAS,132206.01480950936,,
2016,SERC,2,WND,3305.7175320932656,,
2016,SERC,2,WWW,522804.68005322304,,
2016,SERC,3,COW,97485.65373696406,4000806.1303044814,755618.7954903803
2016,SERC,3,HYC,1165033.4251091646,,
2016,SERC,3,NG,679482.7747509008,14607389.501618737,5938676.135503857
2016,SERC,3,OOG,27707.77004149607,,
2016,SERC,3,OTH,109529.61253270476,,
2016,SERC,3,PC,18512.53899999996,507660.0,93910.0
2016,SERC,3,PEL,6449.399228089602,95056.26999512163,47802.70923181542
2016,SERC,3,SUN,293085.58,,
2016,SERC,3,WAS,140944.32833360735,,
2016,SERC,3,WND,3486.600282950273,,
2016,SERC,3,WWW,530104.3897098904,,
2016,SERC,4,COW,219180.88451977854,4100666.7305586394,2034993.7680373236
